Timeframe,power
2019-07-01 00:00:00,0.0
2019-07-01 01:00:00,0.0
2019-07-01 02:00:00,0.0
2019-07-01 03:00:00,0.0
2019-07-01 04:00:00,0.0
2019-07-01 05:00:00,0.2
2019-07-01 06:00:00,2.6
2019-07-01 07:00:00,10.575
2019-07-01 08:00:00,26.009999999999998
2019-07-01 09:00:00,38.934
2019-07-01 10:00:00,49.465
2019-07-01 11:00:00,55.021
2019-07-01 12:00:00,41.155
2019-07-01 13:00:00,57.275
2019-07-01 14:00:00,7.941
2019-07-01 15:00:00,43.352000000000004
2019-07-01 16:00:00,32.6
2019-07-01 17:00:00,13.574
2019-07-01 18:00:00,1.666
2019-07-01 19:00:00,0.0
2019-07-01 20:00:00,0.0
2019-07-01 21:00:00,0.0
2019-07-01 22:00:00,0.0
2019-07-01 23:00:00,0.0
2019-07-02 00:00:00,0.0
2019-07-02 01:00:00,0.0
2019-07-02 02:00:00,0.0
2019-07-02 03:00:00,0.0
2019-07-02 04:00:00,0.0
2019-07-02 05:00:00,0.3
2019-07-02 06:00:00,3.9
2019-07-02 07:00:00,14.187000000000001
2019-07-02 08:00:00,12.336
2019-07-02 09:00:00,13.732000000000001
2019-07-02 10:00:00,15.731000000000002
2019-07-02 11:00:00,69.642
2019-07-02 12:00:00,48.519000000000005
2019-07-02 13:00:00,18.612000000000002
2019-07-02 14:00:00,49.259
2019-07-02 15:00:00,29.92
2019-07-02 16:00:00,26.663
2019-07-02 17:00:00,15.105
2019-07-02 18:00:00,1.794
2019-07-02 19:00:00,0.0
2019-07-02 20:00:00,0.0
2019-07-02 21:00:00,0.0
2019-07-02 22:00:00,0.0
2019-07-02 23:00:00,0.0
2019-07-03 00:00:00,0.0
2019-07-03 01:00:00,0.0
2019-07-03 02:00:00,0.0
2019-07-03 03:00:00,0.0
2019-07-03 04:00:00,0.0
2019-07-03 05:00:00,0.3
2019-07-03 06:00:00,2.977
2019-07-03 07:00:00,13.532
2019-07-03 08:00:00,25.237000000000002
2019-07-03 09:00:00,36.495000000000005
2019-07-03 10:00:00,45.284
2019-07-03 11:00:00,50.117
2019-07-03 12:00:00,52.227
2019-07-03 13:00:00,55.632000000000005
2019-07-03 14:00:00,40.452
2019-07-03 15:00:00,40.565000000000005
2019-07-03 16:00:00,28.758
2019-07-03 17:00:00,12.263
2019-07-03 18:00:00,1.745
2019-07-03 19:00:00,0.1
2019-07-03 20:00:00,0.0
2019-07-03 21:00:00,0.0
2019-07-03 22:00:00,0.0
2019-07-03 23:00:00,0.0
2019-07-04 00:00:00,0.0
2019-07-04 01:00:00,0.0
2019-07-04 02:00:00,0.0
2019-07-04 03:00:00,0.0
2019-07-04 04:00:00,0.0
2019-07-04 05:00:00,0.3
2019-07-04 06:00:00,2.1
2019-07-04 07:00:00,10.065999999999999
2019-07-04 08:00:00,23.684
2019-07-04 09:00:00,35.67
2019-07-04 10:00:00,40.78
2019-07-04 11:00:00,40.255
2019-07-04 12:00:00,47.891000000000005
2019-07-04 13:00:00,53.813
2019-07-04 14:00:00,33.009
2019-07-04 15:00:00,22.409000000000002
2019-07-04 16:00:00,20.311
2019-07-04 17:00:00,11.196000000000002
2019-07-04 18:00:00,3.129
2019-07-04 19:00:00,0.0
2019-07-04 20:00:00,0.0
2019-07-04 21:00:00,0.0
2019-07-04 22:00:00,0.0
2019-07-04 23:00:00,0.0
2019-07-05 00:00:00,0.0
2019-07-05 01:00:00,0.0
2019-07-05 02:00:00,0.0
2019-07-05 03:00:00,0.0
2019-07-05 04:00:00,0.0
2019-07-05 05:00:00,0.3
2019-07-05 06:00:00,3.1109999999999998
2019-07-05 07:00:00,10.736999999999998
2019-07-05 08:00:00,24.353
2019-07-05 09:00:00,37.635
2019-07-05 10:00:00,45.596000000000004
2019-07-05 11:00:00,51.867
2019-07-05 12:00:00,53.176
2019-07-05 13:00:00,40.539
2019-07-05 14:00:00,51.534000000000006
2019-07-05 15:00:00,39.674
2019-07-05 16:00:00,31.304000000000002
2019-07-05 17:00:00,12.559
2019-07-05 18:00:00,3.617
2019-07-05 19:00:00,0.0
2019-07-05 20:00:00,0.0
2019-07-05 21:00:00,0.0
2019-07-05 22:00:00,0.0
2019-07-05 23:00:00,0.0
2019-07-06 00:00:00,0.0
2019-07-06 01:00:00,0.0
2019-07-06 02:00:00,0.0
2019-07-06 03:00:00,0.0
2019-07-06 04:00:00,0.0
2019-07-06 05:00:00,0.2
2019-07-06 06:00:00,2.5020000000000002
2019-07-06 07:00:00,10.115
2019-07-06 08:00:00,20.657999999999998
2019-07-06 09:00:00,34.102000000000004
2019-07-06 10:00:00,52.81699999999999
2019-07-06 11:00:00,29.434
2019-07-06 12:00:00,55.884
2019-07-06 13:00:00,52.41
2019-07-06 14:00:00,42.785
2019-07-06 15:00:00,40.877
2019-07-06 16:00:00,29.207
2019-07-06 17:00:00,2.638
2019-07-06 18:00:00,0.1
2019-07-06 19:00:00,0.0
2019-07-06 20:00:00,0.0
2019-07-06 21:00:00,0.0
2019-07-06 22:00:00,0.0
2019-07-06 23:00:00,0.0
2019-07-07 00:00:00,0.0
2019-07-07 01:00:00,0.0
2019-07-07 02:00:00,0.0
2019-07-07 03:00:00,0.0
2019-07-07 04:00:00,0.0
2019-07-07 05:00:00,0.0
2019-07-07 06:00:00,0.6
2019-07-07 07:00:00,10.446000000000002
2019-07-07 08:00:00,21.252000000000002
